| Gene   | Manual Classification (Manuscript)   | Reactome IDs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Reactome Primary Process                                                                                                                                                                                                    | Top Reactome Pathways                                                                                                                               |
| RHOQ   | Cytoskeletal Dynamics                | REACTOME:R-HSA-1445148, REACTOME:R-HSA-162582, REACTOME:R-HSA-194315, REACTOME:R-HSA-195258, REACTOME:R-HSA-199991, REACTOME:R-HSA-5627083, REACTOME:R-HSA-5653656, REACTOME:R-HSA-9012999, REACTOME:R-HSA-9013406, REACTOME:R-HSA-9716542                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Other_Mixed_or_Generic                                                                                                                                                                                                      | Translocation of SLC2A4 (GLUT4) to the plasma membrane, Signal Transduction, Signaling by Rho GTPases                                               |
| FMNL2  | Cytoskeletal Dynamics                | REACTOME:R-HSA-162582, REACTOME:R-HSA-194315, REACTOME:R-HSA-195258, REACTOME:R-HSA-5663220, REACTOME:R-HSA-9012999, REACTOME:R-HSA-9013106, REACTOME:R-HSA-9013148, REACTOME:R-HSA-9716542                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Other_Mixed_or_Generic                                                                                                                                                                                                      | Signal Transduction, Signaling by Rho GTPases, RHO GTPase Effectors                                                                                 |
| PLEC   | Cytoskeletal Dynamics                | REACTOME:R-HSA-109581, REACTOME:R-HSA-111465, REACTOME:R-HSA-1474244, REACTOME:R-HSA-1474290, REACTOME:R-HSA-1500931, REACTOME:R-HSA-2022090, REACTOME:R-HSA-264870, REACTOME:R-HSA-446107, REACTOME:R-HSA-446728, REACTOME:R-HSA-5357801, REACTOME:R-HSA-75153                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Apoptosis_Survival, Other_Mixed_or_Generic, ECM_Remodeling_Adhesion                                                                                                                                                         | Apoptosis, Apoptotic cleavage of cellular proteins, Extracellular matrix organization                                                               |
| PTPN12 | Immune Evasion Checkpoints           | REACTOME:R-HSA-1227986, REACTOME:R-HSA-1227990, REACTOME:R-HSA-1250196, REACTOME:R-HSA-1280215, REACTOME:R-HSA-162582, REACTOME:R-HSA-1643685, REACTOME:R-HSA-168256, REACTOME:R-HSA-177929, REACTOME:R-HSA-182971, REACTOME:R-HSA-186797, REACTOME:R-HSA-446652, REACTOME:R-HSA-449147, REACTOME:R-HSA-5663202, REACTOME:R-HSA-8863795, REACTOME:R-HSA-9006934, REACTOME:R-HSA-9008059, REACTOME:R-HSA-9634285                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Oncogenic_GrowthFactor_Signaling, Other_Mixed_or_Generic, Cytokine_JAK_STAT_Signaling                                                                                                                                       | Signaling by ERBB2, Signaling by ERBB2 in Cancer, SHC1 events in ERBB2 signaling                                                                    |
| CTSS   | Antigen Presentation                 | REACTOME:R-HSA-1236975, REACTOME:R-HSA-1236977, REACTOME:R-HSA-1280218, REACTOME:R-HSA-1474228, REACTOME:R-HSA-1474244, REACTOME:R-HSA-1474290, REACTOME:R-HSA-1500931, REACTOME:R-HSA-1679131, REACTOME:R-HSA-168249, REACTOME:R-HSA-168256, REACTOME:R-HSA-168898, REACTOME:R-HSA-2022090, REACTOME:R-HSA-2132295, REACTOME:R-HSA-418990, REACTOME:R-HSA-421270, REACTOME:R-HSA-446728, REACTOME:R-HSA-6798695, REACTOME:R-HSA-9759476, REACTOME:R-HSA-9764265, REACTOME:R-HSA-9764274, REACTOME:R-HSA-9764561, REACTOME:R-HSA-9766229, REACTOME:R-HSA-983169                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Innate_Immunity_Myeloid_Phagocyte, Other_Mixed_or_Generic, ECM_Remodeling_Adhesion                                                                                                                                          | Antigen processing-Cross presentation, Endosomal/Vacuolar pathway, Adaptive Immune System                                                           |
| CTSD   | Antigen Presentation                 | REACTOME:R-HSA-1280218, REACTOME:R-HSA-1442490, REACTOME:R-HSA-1474228, REACTOME:R-HSA-1474244, REACTOME:R-HSA-162582, REACTOME:R-HSA-168249, REACTOME:R-HSA-168256, REACTOME:R-HSA-2022377, REACTOME:R-HSA-2132295, REACTOME:R-HSA-2980736, REACTOME:R-HSA-392499, REACTOME:R-HSA-6798695, REACTOME:R-HSA-74752, REACTOME:R-HSA-77387, REACTOME:R-HSA-8939211, REACTOME:R-HSA-9006931, REACTOME:R-HSA-9006934, REACTOME:R-HSA-9018519                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Other_Mixed_or_Generic, ECM_Remodeling_Adhesion, Innate_Immunity_Myeloid_Phagocyte, Metabolism, Cell_Cycle_DNA_Replication                                                                                                  | Adaptive Immune System, Collagen degradation, Degradation of the extracellular matrix                                                               |
| CISH   | Interferon Response                  | REACTOME:R-HSA-1266695, REACTOME:R-HSA-1280215, REACTOME:R-HSA-168256, REACTOME:R-HSA-392499, REACTOME:R-HSA-449147, REACTOME:R-HSA-597592, REACTOME:R-HSA-8951664, REACTOME:R-HSA-982772                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Cytokine_JAK_STAT_Signaling, Other_Mixed_or_Generic, Metabolism                                                                                                                                                             | Interleukin-7 signaling, Cytokine Signaling in Immune system, Immune System                                                                         |
| IFITM2 | Interferon Response                  | REACTOME:R-HSA-1280215, REACTOME:R-HSA-168256, REACTOME:R-HSA-909733, REACTOME:R-HSA-913531                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Cytokine_JAK_STAT_Signaling, Other_Mixed_or_Generic                                                                                                                                                                         | Cytokine Signaling in Immune system, Immune System, Interferon alpha/beta signaling                                                                 |
| MITF   | Differentiation Control              | REACTOME:R-HSA-1266738, REACTOME:R-HSA-2990846, REACTOME:R-HSA-3108232, REACTOME:R-HSA-3232118, REACTOME:R-HSA-392499, REACTOME:R-HSA-597592, REACTOME:R-HSA-9730414, REACTOME:R-HSA-9824585, REACTOME:R-HSA-9824594, REACTOME:R-HSA-9825892, REACTOME:R-HSA-9825895, REACTOME:R-HSA-9854907, REACTOME:R-HSA-9854909, REACTOME:R-HSA-9856649, REACTOME:R-HSA-9856651, REACTOME:R-HSA-9857377, REACTOME:R-HSA-9926550                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Other_Mixed_or_Generic, Metabolism, Apoptosis_Survival, Cell_Cycle_DNA_Replication, Stress_Response_DNA_Damage_Autophagy, ECM_Remodeling_Adhesion                                                                           | Developmental Biology, SUMOylation, SUMO E3 ligases SUMOylate target proteins                                                                       |
| TFEC   | Differentiation Control              | REACTOME:R-HSA-1266738, REACTOME:R-HSA-9730414, REACTOME:R-HSA-9856649                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Other_Mixed_or_Generic                                                                                                                                                                                                      | Developmental Biology, MITF-M-regulated melanocyte development, Transcriptional and post-translational regulation of MITF-M expression and activity |
| SLC2A1 | Glycolytic Shift (Warburg)           | REACTOME:R-HSA-1430728, REACTOME:R-HSA-163685, REACTOME:R-HSA-1643685, REACTOME:R-HSA-189200, REACTOME:R-HSA-196836, REACTOME:R-HSA-196849, REACTOME:R-HSA-196854, REACTOME:R-HSA-382551, REACTOME:R-HSA-422356, REACTOME:R-HSA-425407, REACTOME:R-HSA-5619043, REACTOME:R-HSA-5619102, REACTOME:R-HSA-5619115, REACTOME:R-HSA-5653890, REACTOME:R-HSA-71387                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Metabolism, Other_Mixed_or_Generic                                                                                                                                                                                          | Metabolism, Integration of energy metabolism, Disease                                                                                               |
| HK2    | Glycolytic Shift (Warburg)           | REACTOME:R-HSA-1430728, REACTOME:R-HSA-70171, REACTOME:R-HSA-70326, REACTOME:R-HSA-71387                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Metabolism                                                                                                                                                                                                                  | Metabolism, Glycolysis, Glucose metabolism                                                                                                          |
| PFKP   | Glycolytic Shift (Warburg)           | REACTOME:R-HSA-1430728, REACTOME:R-HSA-70171, REACTOME:R-HSA-70326, REACTOME:R-HSA-71387                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Metabolism                                                                                                                                                                                                                  | Metabolism, Glycolysis, Glucose metabolism                                                                                                          |
| PKM    | Glycolytic Shift (Warburg)           | REACTOME:R-HSA-1428517, REACTOME:R-HSA-1430728, REACTOME:R-HSA-1500931, REACTOME:R-HSA-168249, REACTOME:R-HSA-168256, REACTOME:R-HSA-418990, REACTOME:R-HSA-421270, REACTOME:R-HSA-446728, REACTOME:R-HSA-6798695, REACTOME:R-HSA-70171, REACTOME:R-HSA-70268, REACTOME:R-HSA-70326, REACTOME:R-HSA-71387, REACTOME:R-HSA-9759476, REACTOME:R-HSA-9764265, REACTOME:R-HSA-9764274, REACTOME:R-HSA-9764560, REACTOME:R-HSA-9764725, REACTOME:R-HSA-9861718                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Metabolism, Other_Mixed_or_Generic, Innate_Immunity_Myeloid_Phagocyte, ECM_Remodeling_Adhesion                                                                                                                              | Aerobic respiration and respiratory electron transport, Metabolism, Cell-Cell communication                                                         |
| FABP5  | Lipid Metabolism (Foamy TAMs)        | REACTOME:R-HSA-1430728, REACTOME:R-HSA-162582, REACTOME:R-HSA-163560, REACTOME:R-HSA-168249, REACTOME:R-HSA-168256, REACTOME:R-HSA-5362517, REACTOME:R-HSA-556833, REACTOME:R-HSA-6798695, REACTOME:R-HSA-8979227, REACTOME:R-HSA-9006931                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Metabolism, Other_Mixed_or_Generic, Innate_Immunity_Myeloid_Phagocyte                                                                                                                                                       | Metabolism, Signal Transduction, Triglyceride catabolism                                                                                            |
