term_id,db,pathway_id,pathway_name,description,pathway_size,overlap_size,Process_primary,Process_all,Generic_parent_flag,is_Metabolism,is_ECM_Remodeling_Adhesion,is_Angiogenesis_Vascular_Hemostasis,is_Immune_Checkpoint_Tcell_Regulation,is_Innate_Immunity_Myeloid_Phagocyte,is_Apoptosis_Survival,is_Stress_Response_DNA_Damage_Autophagy,is_Cell_Cycle_DNA_Replication,is_Cytokine_JAK_STAT_Signaling,is_Oncogenic_GrowthFactor_Signaling,is_Other_Mixed_or_Generic
REACTOME:R-HSA-112040,REACTOME,R-HSA-112040,G-protein mediated events,R-HSA-112040,54,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-112043,REACTOME,R-HSA-112043,PLC beta mediated events,R-HSA-112043,49,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-112313,REACTOME,R-HSA-112313,Neurotransmitter uptake and metabolism In glial cells,R-HSA-112313,4,1,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-112314,REACTOME,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-112314,205,4,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-112315,REACTOME,R-HSA-112315,Transmission across Chemical Synapses,R-HSA-112315,270,5,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-112316,REACTOME,R-HSA-112316,Neuronal System,R-HSA-112316,412,7,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-112399,REACTOME,R-HSA-112399,IRS-mediated signalling,R-HSA-112399,48,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-112409,REACTOME,R-HSA-112409,RAF-independent MAPK1/3 activation,R-HSA-112409,23,1,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-112412,REACTOME,R-HSA-112412,SOS-mediated signalling,R-HSA-112412,7,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-114452,REACTOME,R-HSA-114452,Activation of BH3-only proteins,R-HSA-114452,30,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-114516,REACTOME,R-HSA-114516,Disinhibition of SNARE formation,R-HSA-114516,5,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-114604,REACTOME,R-HSA-114604,GPVI-mediated activation cascade,R-HSA-114604,35,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-114608,REACTOME,R-HSA-114608,Platelet degranulation,R-HSA-114608,128,11,Angiogenesis_Vascular_Hemostasis,Angiogenesis_Vascular_Hemostasis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1168372,REACTOME,R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),R-HSA-1168372,68,8,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1169091,REACTOME,R-HSA-1169091,Activation of NF-kappaB in B cells,R-HSA-1169091,54,5,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1169092,REACTOME,R-HSA-1169092,Activation of RAS in B cells,R-HSA-1169092,5,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1169408,REACTOME,R-HSA-1169408,ISG15 antiviral mechanism,R-HSA-1169408,76,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1169410,REACTOME,R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,R-HSA-1169410,173,5,Cytokine_JAK_STAT_Signaling,Cytokine_JAK_STAT_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
REACTOME:R-HSA-1181150,REACTOME,R-HSA-1181150,Signaling by NODAL,R-HSA-1181150,23,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1187000,REACTOME,R-HSA-1187000,Fertilization,R-HSA-1187000,26,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1221632,REACTOME,R-HSA-1221632,Meiotic synapsis,R-HSA-1221632,59,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1222556,REACTOME,R-HSA-1222556,ROS and RNS production in phagocytes,R-HSA-1222556,36,1,Innate_Immunity_Myeloid_Phagocyte,Innate_Immunity_Myeloid_Phagocyte,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1226099,REACTOME,R-HSA-1226099,Signaling by FGFR in disease,R-HSA-1226099,63,2,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-1227986,REACTOME,R-HSA-1227986,Signaling by ERBB2,R-HSA-1227986,50,3,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-1227990,REACTOME,R-HSA-1227990,Signaling by ERBB2 in Cancer,R-HSA-1227990,26,2,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-1234158,REACTOME,R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor,R-HSA-1234158,11,1,Stress_Response_DNA_Damage_Autophagy,Stress_Response_DNA_Damage_Autophagy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1234174,REACTOME,R-HSA-1234174,Cellular response to hypoxia,R-HSA-1234174,62,5,Stress_Response_DNA_Damage_Autophagy,Stress_Response_DNA_Damage_Autophagy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1234176,REACTOME,R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,R-HSA-1234176,53,4,Stress_Response_DNA_Damage_Autophagy,Stress_Response_DNA_Damage_Autophagy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1236382,REACTOME,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,19,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1236394,REACTOME,R-HSA-1236394,Signaling by ERBB4,R-HSA-1236394,58,3,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-1236974,REACTOME,R-HSA-1236974,ER-Phagosome pathway,R-HSA-1236974,85,5,Innate_Immunity_Myeloid_Phagocyte,Innate_Immunity_Myeloid_Phagocyte,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1236975,REACTOME,R-HSA-1236975,Antigen processing-Cross presentation,R-HSA-1236975,101,6,Innate_Immunity_Myeloid_Phagocyte,Innate_Immunity_Myeloid_Phagocyte,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1236977,REACTOME,R-HSA-1236977,Endosomal/Vacuolar pathway,R-HSA-1236977,12,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1236978,REACTOME,R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),R-HSA-1236978,42,3,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1250196,REACTOME,R-HSA-1250196,SHC1 events in ERBB2 signaling,R-HSA-1250196,22,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1250347,REACTOME,R-HSA-1250347,SHC1 events in ERBB4 signaling,R-HSA-1250347,14,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1251985,REACTOME,R-HSA-1251985,Nuclear signaling by ERBB4,R-HSA-1251985,32,1,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-1253288,REACTOME,R-HSA-1253288,Downregulation of ERBB4 signaling,R-HSA-1253288,9,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1257604,REACTOME,R-HSA-1257604,PIP3 activates AKT signaling,R-HSA-1257604,284,8,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-1266695,REACTOME,R-HSA-1266695,Interleukin-7 signaling,R-HSA-1266695,25,2,Cytokine_JAK_STAT_Signaling,Cytokine_JAK_STAT_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
REACTOME:R-HSA-1266738,REACTOME,R-HSA-1266738,Developmental Biology,R-HSA-1266738,1436,38,Other_Mixed_or_Generic,Other_Mixed_or_Generic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1268020,REACTOME,R-HSA-1268020,Mitochondrial protein import,R-HSA-1268020,65,3,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1280215,REACTOME,R-HSA-1280215,Cytokine Signaling in Immune system,R-HSA-1280215,790,40,Cytokine_JAK_STAT_Signaling,Cytokine_JAK_STAT_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
REACTOME:R-HSA-1280218,REACTOME,R-HSA-1280218,Adaptive Immune System,R-HSA-1280218,994,36,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1300645,REACTOME,R-HSA-1300645,Acrosome Reaction and Sperm:Oocyte Membrane Binding,R-HSA-1300645,6,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1368108,REACTOME,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression",R-HSA-1368108,26,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-140179,REACTOME,R-HSA-140179,Amine Oxidase reactions,R-HSA-140179,4,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-140342,REACTOME,R-HSA-140342,Apoptosis induced DNA fragmentation,R-HSA-140342,13,1,Apoptosis_Survival,Apoptosis_Survival,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-140534,REACTOME,R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand,R-HSA-140534,18,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-141334,REACTOME,R-HSA-141334,PAOs oxidise polyamines to amines,R-HSA-141334,2,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1428517,REACTOME,R-HSA-1428517,Aerobic respiration and respiratory electron transport,R-HSA-1428517,261,12,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1430728,REACTOME,R-HSA-1430728,Metabolism,R-HSA-1430728,2195,54,Metabolism,Metabolism,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1433557,REACTOME,R-HSA-1433557,Signaling by SCF-KIT,R-HSA-1433557,43,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1442490,REACTOME,R-HSA-1442490,Collagen degradation,R-HSA-1442490,64,2,ECM_Remodeling_Adhesion,ECM_Remodeling_Adhesion,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1445148,REACTOME,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,R-HSA-1445148,72,6,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1474151,REACTOME,R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",R-HSA-1474151,10,1,Cell_Cycle_DNA_Replication,Cell_Cycle_DNA_Replication,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1474165,REACTOME,R-HSA-1474165,Reproduction,R-HSA-1474165,127,3,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1474228,REACTOME,R-HSA-1474228,Degradation of the extracellular matrix,R-HSA-1474228,140,8,ECM_Remodeling_Adhesion,ECM_Remodeling_Adhesion,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1474244,REACTOME,R-HSA-1474244,Extracellular matrix organization,R-HSA-1474244,321,18,ECM_Remodeling_Adhesion,ECM_Remodeling_Adhesion,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1474290,REACTOME,R-HSA-1474290,Collagen formation,R-HSA-1474290,90,3,ECM_Remodeling_Adhesion,ECM_Remodeling_Adhesion,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1483166,REACTOME,R-HSA-1483166,Synthesis of PA,R-HSA-1483166,39,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1483191,REACTOME,R-HSA-1483191,Synthesis of PC,R-HSA-1483191,28,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1483196,REACTOME,R-HSA-1483196,PI and PC transport between ER and Golgi membranes,R-HSA-1483196,1,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1483206,REACTOME,R-HSA-1483206,Glycerophospholipid biosynthesis,R-HSA-1483206,129,3,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1483248,REACTOME,R-HSA-1483248,Synthesis of PIPs at the ER membrane,R-HSA-1483248,5,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1483249,REACTOME,R-HSA-1483249,Inositol phosphate metabolism,R-HSA-1483249,48,1,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1483255,REACTOME,R-HSA-1483255,PI Metabolism,R-HSA-1483255,84,2,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1483257,REACTOME,R-HSA-1483257,Phospholipid metabolism,R-HSA-1483257,212,4,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1489509,REACTOME,R-HSA-1489509,DAG and IP3 signaling,R-HSA-1489509,41,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1500620,REACTOME,R-HSA-1500620,Meiosis,R-HSA-1500620,89,1,Cell_Cycle_DNA_Replication,Cell_Cycle_DNA_Replication,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
REACTOME:R-HSA-1500931,REACTOME,R-HSA-1500931,Cell-Cell communication,R-HSA-1500931,313,12,Other_Mixed_or_Generic,Other_Mixed_or_Generic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1502540,REACTOME,R-HSA-1502540,Signaling by Activin,R-HSA-1502540,17,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-156580,REACTOME,R-HSA-156580,Phase II - Conjugation of compounds,R-HSA-156580,106,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-156588,REACTOME,R-HSA-156588,Glucuronidation,R-HSA-156588,27,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-1566948,REACTOME,R-HSA-1566948,Elastic fibre formation,R-HSA-1566948,44,3,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
